neighbor_moveinitial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,5000.000,0.001,0.950,250,196629.579,196629.579,664716.819,10436,75250,13.868,175110.000,1.122892,12.289,46
two_opt,5000.000,0.001,0.950,500,196629.579,196629.579,683357.684,19546,150500,12.987,175110.000,1.122892,12.289,88
two_opt,5000.000,0.001,0.950,750,196629.579,196629.579,689035.388,28788,225750,12.752,175110.000,1.122892,12.289,134
two_opt,5000.000,0.001,0.950,1000,196629.579,196629.579,695839.524,38123,301000,12.665,175110.000,1.122892,12.289,177
two_opt,5000.000,0.001,0.950,1250,196629.579,196629.579,694864.675,46957,376250,12.480,175110.000,1.122892,12.289,231
two_opt,5000.000,0.001,0.950,1500,196629.579,194824.128,699548.142,55722,451500,12.342,175110.000,1.112581,11.258,274
two_opt,5000.000,0.001,0.975,250,196629.579,196629.579,681751.457,19701,152500,12.919,175110.000,1.122892,12.289,90
two_opt,5000.000,0.001,0.975,500,196629.579,196629.579,693463.435,38288,305000,12.553,175110.000,1.122892,12.289,179
two_opt,5000.000,0.001,0.975,750,196629.579,196602.609,698679.329,56088,457500,12.260,175110.000,1.122738,12.274,267
two_opt,5000.000,0.001,0.975,1000,196629.579,190473.005,702302.927,74867,610000,12.273,175110.000,1.087733,8.773,360
two_opt,5000.000,0.001,0.975,1250,196629.579,189994.179,703559.941,92880,762500,12.181,175110.000,1.084999,8.500,446
two_opt,5000.000,0.001,0.975,1500,196629.579,188965.335,704027.507,111566,915000,12.193,175110.000,1.079124,7.912,533
two_opt,5000.000,0.001,0.990,250,196629.579,196629.579,696882.335,46980,383750,12.242,175110.000,1.122892,12.289,225
