neighbor_moveinitial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,5000.000,0.100,0.950,750,62288.535,56720.054,142340.121,27651,158250,17.473,54679.000,1.037328,3.733,21
two_opt,5000.000,0.100,0.950,1000,62288.535,56385.499,143046.741,36636,211000,17.363,54679.000,1.031209,3.121,28
two_opt,5000.000,0.100,0.950,1250,62288.535,56768.350,142976.456,46097,263750,17.478,54679.000,1.038211,3.821,36
two_opt,5000.000,0.100,0.950,1500,62288.535,56936.042,143538.931,54897,316500,17.345,54679.000,1.041278,4.128,42
two_opt,5000.000,0.100,0.975,250,62288.535,57862.483,142362.877,18795,107000,17.565,54679.000,1.058221,5.822,14
two_opt,5000.000,0.100,0.975,500,62288.535,57991.908,142766.410,36754,214000,17.175,54679.000,1.060588,6.059,29
two_opt,5000.000,0.100,0.975,750,62288.535,56575.841,142651.542,55077,321000,17.158,54679.000,1.034690,3.469,43
two_opt,5000.000,0.100,0.975,1000,62288.535,55691.338,142504.074,73779,428000,17.238,54679.000,1.018514,1.851,58
two_opt,5000.000,0.100,0.975,1250,62288.535,56059.445,143125.451,91594,535000,17.120,54679.000,1.025246,2.525,72
two_opt,5000.000,0.100,0.975,1500,62288.535,56353.961,143110.213,110160,642000,17.159,54679.000,1.030633,3.063,86
two_opt,5000.000,0.100,0.990,250,62288.535,57236.794,142645.450,46258,269250,17.180,54679.000,1.046778,4.678,36
two_opt,5000.000,0.100,0.990,500,62288.535,55218.887,142942.689,91928,538500,17.071,54679.000,1.009874,0.987,73
two_opt,5000.000,0.100,0.990,750,62288.535,55299.203,143148.528,137997,807750,17.084,54679.000,1.011343,1.134,109
two_opt,5000.000,0.100,0.990,1000,62288.535,55249.342,143055.516,185000,1077000,17.177,54679.000,1.010431,1.043,148
two_opt,5000.000,0.100,0.990,1250,62288.535,55558.247,143332.623,230295,1346250,17.106,54679.000,1.016080,1.608,183
two_opt,5000.000,0.100,0.990,1500,62288.535,55401.175,142992.083,275829,1615500,17.074,54679.000,1.013208,1.321,220
two_opt,5000.000,0.100,0.995,250,62288.535,56611.342,143097.176,92048,539750,17.054,54679.000,1.035340,3.534,73
two_opt,5000.000,0.100,0.995,500,62288.535,56391.464,143045.233,185022,1079500,17.140,54679.000,1.031318,3.132,146
two_opt,5000.000,0.100,0.995,750,62288.535,55991.915,143248.643,276690,1619250,17.088,54679.000,1.024011,2.401,221
two_opt,5000.000,0.100,0.995,1000,62288.535,55480.089,142986.213,368640,2159000,17.075,54679.000,1.014651,1.465,293
two_opt,5000.000,0.100,0.995,1250,62288.535,55328.684,143140.874,460662,2698750,17.069,54679.000,1.011882,1.188,366
two_opt,5000.000,0.100,0.995,1500,62288.535,55425.644,143309.341,552593,3238500,17.063,54679.000,1.013655,1.366,438
two_opt,5000.000,0.010,0.900,250,62288.535,58431.082,141218.449,4700,31250,15.040,54679.000,1.068620,6.862,4
two_opt,5000.000,0.010,0.900,500,62288.535,58194.539,142241.454,9268,62500,14.829,54679.000,1.064294,6.429,9
two_opt,5000.000,0.010,0.900,750,62288.535,57534.683,142741.188,13804,93750,14.724,54679.000,1.052226,5.223,12
two_opt,5000.000,0.010,0.900,1000,62288.535,59501.005,143089.774,18233,125000,14.586,54679.000,1.088188,8.819,17
two_opt,5000.000,0.010,0.900,1250,62288.535,56996.086,142880.503,22603,156250,14.466,54679.000,1.042376,4.238,21
two_opt,5000.000,0.010,0.900,1500,62288.535,56468.576,142965.151,27320,187500,14.571,54679.000,1.032729,3.273,25
two_opt,5000.000,0.010,0.925,250,62288.535,58952.017,141987.142,6379,42250,15.098,54679.000,1.078147,7.815,5
two_opt,5000.000,0.010,0.925,500,62288.535,57356.783,141100.333,12267,84500,14.517,54679.000,1.048973,4.897,11
two_opt,5000.000,0.010,0.925,750,62288.535,58466.482,142726.809,18367,126750,14.491,54679.000,1.069268,6.927,17
two_opt,5000.000,0.010,0.925,1000,62288.535,56200.828,142325.688,24323,169000,14.392,54679.000,1.027832,2.783,23
two_opt,5000.000,0.010,0.925,1250,62288.535,57526.325,143046.951,30603,211250,14.487,54679.000,1.052073,5.207,29
two_opt,5000.000,0.010,0.925,1500,62288.535,56500.070,142815.461,36637,253500,14.452,54679.000,1.033305,3.330,34
two_opt,5000.000,0.010,0.950,250,62288.535,58360.680,141682.624,9262,64000,14.472,54679.000,1.067333,6.733,8
two_opt,5000.000,0.010,0.950,500,62288.535,57697.147,142058.184,18495,128000,14.449,54679.000,1.055198,5.520,17
two_opt,5000.000,0.010,0.950,750,62288.535,57719.265,142156.371,27675,192000,14.414,54679.000,1.055602,5.560,26
two_opt,5000.000,0.010,0.950,1000,62288.535,56608.205,143395.861,36540,256000,14.273,54679.000,1.035282,3.528,34
two_opt,5000.000,0.010,0.950,1250,62288.535,57149.261,143216.462,45864,320000,14.333,54679.000,1.045178,4.518,43
two_opt,5000.000,0.010,0.950,1500,62288.535,56726.367,143005.707,54637,384000,14.228,54679.000,1.037443,3.744,53
two_opt,5000.000,0.010,0.975,250,62288.535,58203.377,141766.927,18695,129750,14.408,54679.000,1.064456,6.446,17
two_opt,5000.000,0.010,0.975,500,62288.535,57728.898,142594.557,36681,259500,14.135,54679.000,1.055778,5.578,35
two_opt,5000.000,0.010,0.975,750,62288.535,56644.780,143120.944,55334,389250,14.216,54679.000,1.035951,3.595,53
two_opt,5000.000,0.010,0.975,1000,62288.535,57736.808,143162.758,73974,519000,14.253,54679.000,1.055923,5.592,71
two_opt,5000.000,0.010,0.975,1250,62288.535,56118.782,142737.469,91362,648750,14.083,54679.000,1.026332,2.633,87
two_opt,5000.000,0.010,0.975,1500,62288.535,56066.532,142856.711,110269,778500,14.164,54679.000,1.025376,2.538,106
two_opt,5000.000,0.010,0.990,250,62288.535,56339.097,142773.613,46572,326500,14.264,54679.000,1.030361,3.036,44
two_opt,5000.000,0.010,0.990,500,62288.535,56262.641,143040.051,92364,653000,14.145,54679.000,1.028963,2.896,88
two_opt,5000.000,0.010,0.990,750,62288.535,56226.979,142963.032,137899,979500,14.079,54679.000,1.028310,2.831,134
two_opt,5000.000,0.010,0.990,1000,62288.535,56040.577,143255.504,184856,1306000,14.154,54679.000,1.024901,2.490,177
two_opt,5000.000,0.010,0.990,1250,62288.535,56388.468,143272.552,229877,1632500,14.081,54679.000,1.031264,3.126,223
two_opt,5000.000,0.010,0.990,1500,62288.535,55978.482,143258.892,276349,1959000,14.107,54679.000,1.023766,2.377,265
two_opt,5000.000,0.010,0.995,250,62288.535,56567.121,143236.965,92377,654500,14.114,54679.000,1.034531,3.453,89
two_opt,5000.000,0.010,0.995,500,62288.535,55578.925,143252.031,183773,1309000,14.039,54679.000,1.016458,1.646,178
two_opt,5000.000,0.010,0.995,750,62288.535,55706.969,143035.922,276720,1963500,14.093,54679.000,1.018800,1.880,268
two_opt,5000.000,0.010,0.995,1000,62288.535,55198.080,142990.939,368438,2618000,14.073,54679.000,1.009493,0.949,356
two_opt,5000.000,0.010,0.995,1250,62288.535,55172.113,143059.516,461273,3272500,14.095,54679.000,1.009018,0.902,445
two_opt,5000.000,0.010,0.995,1500,62288.535,55260.016,143228.570,552664,3927000,14.073,54679.000,1.010626,1.063,531
two_opt,5000.000,0.001,0.900,250,62288.535,57573.779,140848.163,4919,36750,13.385,54679.000,1.052941,5.294,5
two_opt,5000.000,0.001,0.900,500,62288.535,58084.972,141569.823,9251,73500,12.586,54679.000,1.062290,6.229,10
two_opt,5000.000,0.001,0.900,750,62288.535,57761.076,141658.072,13874,110250,12.584,54679.000,1.056367,5.637,15
two_opt,5000.000,0.001,0.900,1000,62288.535,57584.475,142868.609,18333,147000,12.471,54679.000,1.053137,5.314,20
two_opt,5000.000,0.001,0.900,1250,62288.535,57614.953,142767.417,22885,183750,12.454,54679.000,1.053694,5.369,25
two_opt,5000.000,0.001,0.900,1500,62288.535,57104.202,142948.219,27137,220500,12.307,54679.000,1.044353,4.435,30
two_opt,5000.000,0.001,0.925,250,62288.535,58875.829,140882.992,6404,49500,12.937,54679.000,1.076754,7.675,6
two_opt,5000.000,0.001,0.925,500,62288.535,57411.240,141478.658,12335,99000,12.460,54679.000,1.049969,4.997,13
two_opt,5000.000,0.001,0.925,750,62288.535,58253.497,142352.263,18495,148500,12.455,54679.000,1.065372,6.537,20
two_opt,5000.000,0.001,0.925,1000,62288.535,56764.437,142937.487,24723,198000,12.486,54679.000,1.038140,3.814,27
two_opt,5000.000,0.001,0.925,1250,62288.535,57937.471,142857.137,30402,247500,12.284,54679.000,1.059593,5.959,33
two_opt,5000.000,0.001,0.925,1500,62288.535,57695.429,143170.109,36313,297000,12.227,54679.000,1.055166,5.517,41
two_opt,5000.000,0.001,0.950,250,62288.535,58089.969,140682.975,9382,75250,12.468,54679.000,1.062382,6.238,10
two_opt,5000.000,0.001,0.950,500,62288.535,56793.272,142560.570,18472,150500,12.274,54679.000,1.038667,3.867,20
two_opt,5000.000,0.001,0.950,750,62288.535,56717.461,142630.008,27434,225750,12.152,54679.000,1.037281,3.728,31
two_opt,5000.000,0.001,0.950,1000,62288.535,56479.183,142950.656,36711,301000,12.196,54679.000,1.032923,3.292,41
two_opt,5000.000,0.001,0.950,1250,62288.535,57929.312,143067.331,45773,376250,12.166,54679.000,1.059444,5.944,51
two_opt,5000.000,0.001,0.950,1500,62288.535,56362.777,142511.615,54813,451500,12.140,54679.000,1.030794,3.079,61
two_opt,5000.000,0.001,0.975,250,62288.535,57972.846,142491.790,18978,152500,12.445,54679.000,1.060240,6.024,21
two_opt,5000.000,0.001,0.975,500,62288.535,56488.128,143057.973,37052,305000,12.148,54679.000,1.033086,3.309,42
two_opt,5000.000,0.001,0.975,750,62288.535,56614.021,142760.726,55548,457500,12.142,54679.000,1.035389,3.539,62
